# Start time is 15:33:33
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
380.1022354 0.0305180 0.0000315 -0.000023432665744 0.000000661958640
399.9389639 0.0305180 0.0000219 -0.000023999993411 0.000000906533839
420.0808728 0.0305180 0.0000383 -0.000025457104574 0.000000392485253
439.9176013 0.0305180 -0.0000171 -0.000024121425753 0.000001300716094
460.0595102 0.0305180 -0.0000265 -0.000023867200722 -0.000000139156009
479.8962387 0.0305180 0.0000493 -0.000024227590943 -0.000000902180606
500.0381476 0.0305180 -0.0001002 -0.000029544206213 0.000000327263124
519.8748760 0.0305180 -0.0001342 -0.000036092898534 -0.000000437452014
540.0167849 0.0305180 -0.0002844 -0.000043826543619 0.000001143351813
559.8535134 0.0305180 -0.0002800 -0.000050477837953 0.000001782257292
579.9954223 0.0305180 -0.0003288 -0.000059452471557 0.000000857611515
600.1373312 0.0305180 -0.0000661 -0.000043740441716 0.000000791901843
619.9740597 0.0305180 -0.0000777 -0.000033193565662 -0.000002181902970
640.1159686 0.0305180 -0.0001738 -0.000030987061729 -0.000000648316827
659.9526970 0.0305180 -0.0000574 -0.000029134931263 0.000000012753075
680.0946059 0.0305180 -0.0000648 -0.000031138714118 0.000001398332830
699.9313344 0.0305180 -0.0001506 -0.000038546074102 0.000000729786482
720.0732433 0.0305180 -0.0000549 -0.000038661089083 0.000002649423481
739.9099718 0.0305180 0.0000141 -0.000031563350206 0.000000761187205
760.0518807 0.0305180 -0.0000841 -0.000027443463338 0.000000471583567
779.8886091 0.0305180 0.0000927 -0.000027973522140 0.000000749739924
800.0305180 0.0305180 -0.0000007 -0.000028257025025 -0.000000098060223
819.8672465 0.0305180 0.0000204 -0.000031149455930 0.000000602513018
840.0091554 0.0305180 -0.0000599 -0.000033035485338 0.000001235403506
860.1510643 0.0305180 -0.0001769 -0.000037919404784 0.000001015025138
879.9877928 0.0305180 -0.0002549 -0.000040026613775 0.000001433447105
900.1297017 0.0305180 -0.0001030 -0.000040851246219 0.000000333059015
919.9664302 0.0305180 -0.0002129 -0.000041570139339 0.000000972261720
940.1083391 0.0305180 -0.0001595 -0.000038132412437 -0.000000004508894
959.9450675 0.0305180 -0.0000634 -0.000032824094801 0.000000802344080
980.0869764 0.0305180 -0.0000285 -0.000032459457080 -0.000000148229600
999.9237049 0.0305180 -0.0001519 -0.000032615630698 0.000000753368303
1020.0656138 0.0305180 -0.0000907 -0.000035504466118 -0.000000150241451
1039.9023423 0.0305180 -0.0001104 -0.000034674804343 0.000000943316922
1060.0442512 0.0305180 0.0000087 -0.000033102347491 0.000000242620914
1079.8809796 0.0305180 -0.0000113 -0.000034241153404 0.000000307993417
1100.0228885 0.0305180 -0.0000565 -0.000034539076996 0.000000398383351
1119.8596170 0.0305180 -0.0001826 -0.000037372999772 0.000000869524605
1140.0015259 0.0305180 -0.0000662 -0.000036265459481 0.000001055511789
1160.1434348 0.0305180 -0.0001348 -0.000041365970904 0.000000656205042
1179.9801633 0.0305180 -0.0003463 -0.000046130721265 -0.000001040490757
1200.1220722 0.0305180 -0.0003202 -0.000049043562611 0.000000971799435
